"多音詞
序號",詞彙,詞頻,詞頻累積次數,前100名高頻詞累積百分比,"總詞數累積
百分比"
225,事實,339 ,"149,350 ",,22.76%
226,告訴,338 ,"149,688 ",,22.81%
227,起來,338 ,"150,026 ",,22.86%
228,經驗,338 ,"150,364 ",,22.91%
229,組織,337 ,"150,701 ",,22.96%
230,想要,336 ,"151,037 ",,23.01%
231,像是,336 ,"151,373 ",,23.06%
232,政策,336 ,"151,709 ",,23.12%
233,電腦,336 ,"152,045 ",,23.17%
234,原本,334 ,"152,379 ",,23.22%
235,全球,333 ,"152,712 ",,23.27%
236,解決,330 ,"153,042 ",,23.32%
237,完成,329 ,"153,371 ",,23.37%
238,改變,329 ,"153,700 ",,23.42%
239,變成,327 ,"154,027 ",,23.47%
240,臺灣,327 ,"154,354 ",,23.52%
241,相信,325 ,"154,679 ",,23.57%
242,原因,324 ,"155,003 ",,23.62%
243,獲得,324 ,"155,327 ",,23.67%
244,規定,324 ,"155,651 ",,23.72%
245,投資,323 ,"155,974 ",,23.77%
246,準備,322 ,"156,296 ",,23.81%
247,內容,318 ,"156,614 ",,23.86%
248,效果,315 ,"156,929 ",,23.91%
249,而是,314 ,"157,243 ",,23.96%
250,努力,313 ,"157,556 ",,24.01%
251,歷史,313 ,"157,869 ",,24.05%
252,藝術,311 ,"158,180 ",,24.10%
253,期間,310 ,"158,490 ",,24.15%
254,通常,308 ,"158,798 ",,24.20%
255,地區,308 ,"159,106 ",,24.24%
256,簡單,308 ,"159,414 ",,24.29%
257,專業,307 ,"159,721 ",,24.34%
258,避免,307 ,"160,028 ",,24.38%
259,細胞,306 ,"160,334 ",,24.43%
260,立委,306 ,"160,640 ",,24.48%
261,得到,305 ,"160,945 ",,24.52%
262,作品,305 ,"161,250 ",,24.57%
263,了解,304 ,"161,554 ",,24.62%
264,中央,304 ,"161,858 ",,24.66%
265,然而,304 ,"162,162 ",,24.71%
266,適合,302 ,"162,464 ",,24.75%
267,尤其,301 ,"162,765 ",,24.80%
268,方法,298 ,"163,063 ",,24.85%
269,律師,297 ,"163,360 ",,24.89%
270,人民,297 ,"163,657 ",,24.94%
271,好像,295 ,"163,952 ",,24.98%
272,清楚,295 ,"164,247 ",,25.03%
273,狀況,293 ,"164,540 ",,25.07%
274,遊戲,293 ,"164,833 ",,25.12%
275,存在,289 ,"165,122 ",,25.16%
276,擁有,288 ,"165,410 ",,25.20%
